dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Amnibacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Amnibacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Clavibacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Clavibacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Curtobacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Curtobacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Leucobacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Leucobacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Microbacterium_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Microbacterium_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Pseudoclavibacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Pseudoclavibacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_nan_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_nan_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Arthrobacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Arthrobacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,1s in INDEPENDENT variable make up 0.11% of the total N (outside 10-90% prevalence),linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Kocuria_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Kocuria_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Paenarthrobacter_binarized,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Micrococcaceae_Paenarthrobacter_binarized + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,Independent variable has only one unique value,linear
